piscina,apartamento,gas,amueblado,patio,nauta,cisterna,finca,portal,hospital,escuela,carro,terraza,cuartos,banos,salas,plantas,cocinas,comedores,desahogos,pisos,splits,refrigeradores,garajes,tanques,price,Provincias,Municipios
0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,2,2,0,0,0,0,0,0,2,11000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,12000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,1,0,0,0,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,3,5000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,35000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,2,0,0,0,2,12000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,0,0,0,0,0,3,2,0,2,2,0,4,0,0,0,0,2,9000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,8000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,2,20000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,12500.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,20000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,1,1,1,0,0,1,3,2,0,2,2,0,0,0,0,0,0,2,8000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,5000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,6000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,0,2,2,0,0,0,0,0,0,2,12000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,1,3,2,0,2,2,0,0,0,0,0,0,2,20000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,8000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,0,2,2,0,2,2,0,4,0,1,0,0,2,12000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,1,1,0,0,2,2,0,2,2,0,0,0,0,0,0,2,6000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,6000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,1,0,0,0,0,6,3,0,2,3,0,0,0,0,0,0,2,3500.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,25000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,50000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,2,4,0,0,0,2,0,0,2,10000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,55555.555, La Habana,Arroyo Naranjo
